,rx_WF_clip
0,5.0808347724770755
1,4.931152945167511
2,4.781471117857933
3,4.631789290548369
4,4.482107463238805
5,4.332425635929241
6,4.182743808619676
7,4.033061981310112
8,3.883380154000548
9,3.733698326690984
10,3.5840164993814057
11,3.4343346720718415
12,3.2846528447622774
13,3.1349710174527132
14,2.985289190143149
15,2.835607362833585
16,2.685925535524021
17,2.5362437082144424
18,2.3865618809048783
19,2.236880053595314
20,2.08719822628575
21,1.9375163989761859
22,1.7878345716666217
23,1.6381527443570576
24,1.4884709170474935
25,1.338789089737915
26,1.189107262428351
27,1.0394254351187868
28,0.8897436078092227
29,0.7400617804996585
30,0.5903799531900944
31,0.44069812588053026
32,0.2910162985709661
33,0.14133447126138776
34,-0.00834735604817638
35,-0.15802918335774052
36,-0.30771101066730466
37,-0.4573928379768688
38,-0.607074665286433
39,-0.7567564925959971
40,-0.9064383199055612
41,-1.0561201472151396
42,-1.2058019745247037
43,-1.3554838018342679
44,-1.505165629143832
45,-1.6548474564533961
46,-1.8045292837629603
47,-1.9542111110725244
48,-2.1038929383820886
49,-2.253574765691667
50,-2.403256593001231
51,-2.552938420310795
52,-2.7026202476203594
53,-2.8523020749299235
54,-3.0019839022394876
55,-3.1516657295490518
56,-3.301347556858616
57,-3.4510293841681943
58,-3.6007112114777584
59,-3.7503930387873226
60,-3.9000748660968867
61,-4.049756693406451
62,-4.199438520716015
63,-4.349120348025579
64,-4.498802175335143
65,-4.648484002644722
66,-4.798165829954286
67,-4.94784765726385
68,-5.097529484573414
69,-5.247211311882978
70,-5.396893139192542
71,-5.5465749665021065
72,-5.696256793811671
73,-5.845938621121249
74,-5.995620448430813
75,-6.145302275740377
76,-6.294984103049941
77,-6.4446659303595055
78,-6.59434775766907
79,-6.744029584978634
80,-6.893711412288212
81,-7.043393239597776
82,-7.19307506690734
83,-7.342756894216905
84,-7.492438721526469
85,-7.642120548836033
86,-7.791802376145597
87,-7.941484203455161
88,-8.09116603076474
89,-8.240847858074304
90,-8.390529685383868
91,-8.540211512693432
92,-8.689893340002996
93,-8.83957516731256
94,-8.989256994622124
95,-9.138938821931688
96,-9.288620649241267
97,-9.438302476550831
98,-9.587984303860395
99,-9.73766613116996
100,-9.887347958479523
101,-10.037029785789088
102,-10.186711613098652
