,rx_WF_clip
0,-14.223138011162007
1,-14.372796633098375
2,-14.522455255034743
3,-14.672113876971125
4,-14.821772498907492
5,-14.97143112084386
6,-15.121089742780228
7,-15.270748364716596
8,-15.420406986652964
9,-15.570065608589331
10,-15.719724230525713
11,-15.869382852462081
12,-16.01904147439845
13,-16.168700096334817
14,-16.318358718271185
15,-16.468017340207552
16,-16.61767596214392
17,-16.767334584080302
18,-16.91699320601667
19,-17.066651827953038
20,-17.216310449889406
21,-17.365969071825774
22,-17.51562769376214
23,-17.66528631569851
24,-17.81494493763489
25,-17.96460355957126
26,-18.114262181507627
27,-18.263920803443995
28,-18.413579425380362
29,-18.56323804731673
30,-18.712896669253098
31,-18.86255529118948
32,-19.012213913125848
33,-19.161872535062216
34,-19.311531156998583
35,-19.46118977893495
36,-19.61084840087132
37,-19.760507022807687
38,-19.91016564474407
39,-20.059824266680437
40,-20.209482888616805
41,-20.359141510553172
42,-20.50880013248954
43,-20.658458754425908
44,-20.808117376362276
45,-20.957775998298658
46,-21.107434620235026
47,-21.257093242171393
48,-21.40675186410776
49,-21.55641048604413
50,-21.706069107980497
51,-21.855727729916865
52,-22.005386351853247
53,-22.155044973789614
54,-22.304703595725982
55,-22.45436221766235
56,-22.604020839598718
57,-22.753679461535086
58,-22.903338083471454
59,-23.052996705407836
60,-23.202655327344203
61,-23.35231394928057
62,-23.50197257121694
63,-23.651631193153307
64,-23.801289815089675
65,-23.950948437026042
66,-24.100607058962424
67,-24.250265680898792
68,-24.39992430283516
69,-24.549582924771528
70,-24.699241546707896
71,-24.848900168644263
72,-24.99855879058063
73,-25.148217412517013
74,-25.29787603445338
75,-25.44753465638975
76,-25.597193278326117
77,-25.746851900262484
78,-25.896510522198852
79,-26.04616914413522
80,-26.195827766071602
81,-26.34548638800797
82,-26.495145009944338
83,-26.644803631880706
84,-26.794462253817073
85,-26.94412087575344
86,-27.09377949768981
87,-27.24343811962619
88,-27.39309674156256
89,-27.542755363498927
90,-27.692413985435294
91,-27.842072607371662
92,-27.99173122930803
93,-28.141389851244398
94,-28.29104847318078
95,-28.440707095117148
96,-28.590365717053515
97,-28.740024338989883
98,-28.88968296092625
99,-29.03934158286262
100,-29.189000204798987
101,-29.33865882673537
102,-29.488317448671737
103,-29.637976070608104
104,-29.787634692544472
105,-29.93729331448084
106,-30.086951936417215
107,-30.236610558353583
108,-30.38626918028995
109,-30.53592780222632
110,-30.685586424162693
111,-30.83524504609906
112,-30.98490366803543
113,-31.134562289971804
114,-31.28422091190817
115,-31.43387953384454
116,-31.583538155780907
117,-31.733196777717282
118,-31.88285539965365
119,-32.03251402159002
120,-32.18217264352639
121,-32.33183126546276
122,-32.48148988739913
123,-32.631148509335496
124,-32.78080713127187
125,-32.93046575320824
126,-33.08012437514461
127,-33.22978299708098
128,-33.37944161901735
129,-33.52910024095372
130,-33.678758862890085
131,-33.82841748482646
132,-33.97807610676283
133,-34.127734728699195
134,-34.27739335063557
135,-34.42705197257194
136,-34.576710594508306
137,-34.726369216444674
138,-34.87602783838105
139,-35.02568646031742
140,-35.175345082253784
141,-35.32500370419016
142,-35.47466232612653
143,-35.624320948062895
144,-35.77397956999926
